Individual,Nuchal Crest,L Mastoid ,R Mastoid,L Supra-Orbital Margin,R Supra-Orbital Margin,Glabella,Mental Eminence,L Ventral Arc,R Ventral Arc,L Subpubic Concavity,R Subpubic Concavity,L Ischiopubic Ramus,R Ischiopubic Ramus,L Sciatic Notch,R Sciatic Notch,L Transverse,L Texture,L Micro,L Macro,L Apical,R Transverse,R Texture,R Micro,R Macro,R Apical,L Pubic,R Pubic,L 4th Rib,R 4th Rib,Dental Attrition 
S0697V1375,4,5,4,5,5,5,4,4,4,5,5,5,5,4,4,4,4,3,3,2,4,3,3,2,1,4,4,,,
S0750V1495,5,1,1,2,2,3,4,4,4,5,5,4,4,4,4,2,5,2,2,2,3,5,3,2,2,6,6,,,
S0752V1500,5,2,3,3,3,4,3,,4,,2,,3,3,3,1,2,2,3,1,2,2,3,3,1,,4,,,
S0773V1561,4,3,3,4,4,4,4,2,2,3,3,1,1,5,5,5,5,3,3,3,5,5,3,3,3,6,6,,,
S0782V1596,5,,5,4,4,5,2,,4,,5,,4,,5,,,,,,4,5,3,2,1,,3,,,
S0790V1621,1,4,4,,1,2,5,1,2,1,1,5,5,4,3,4,4,3,2,1,4,4,3,2,2,4,,,,
S0807V1659,5,5,4,5,5,4,2,3,3,5,,2,,3,4,4,3,3,2,2,4,3,2,2,2,3,,,,
S0893V1822,4,1,1,3,4,5,3,2,2,5,5,2,2,4,4,3,4,3,3,1,4,4,3,3,1,4,4,,,
S0902V1837,4,3,4,4,3,5,5,4,4,4,4,5,5,5,5,3,3,3,3,2,4,4,3,3,1,6,6,,,
S1021V2062,5,4,4,2,2,5,2,,,,,,,4,5,2,4,3,2,1,1,5,3,2,2,,,,,
S1022V2064,3,2,3,2,2,2,1,2,2,5,5,5,5,5,5,4,5,3,3,2,4,5,3,3,2,2,2,,,
S1045V2101,4,2,3,4,4,1,5,2,2,1,1,4,4,4,4,2,2,2,1,1,3,2,3,2,2,1,2,,,
S1120V2213,4,2,2,3,2,4,4,5,5,5,5,5,5,3,,3,4,3,2,1,,,,,,6,6,,,
S1255V2451,5,5,5,5,,,4,,4,,5,,5,5,5,5,4,3,2,3,5,4,3,2,2,,5,,,
S1272V2489,4,4,4,1,1,2,4,,3,,2,,3,3,4,4,5,3,2,1,4,5,3,3,1,4,4,,,
S0570V0973,4,5,5,4,2,2,4,4,4,5,5,3,3,3,3,4,4,3,1,1,,,,,,5,5,,,
S0592V1023,5,4,5,1,1,1,2,,3,,1,,1,4,5,4,2,3,2,1,4,2,2,2,1,,3,,,
S0708V1399,5,5,5,2,5,4,2,5,5,3,3,3,3,3,4,2,1,2,2,1,2,1,2,3,1,,4,,,
S0702V1387,,2,2,3,3,3,4,1,,2,,4,,3,2,3,4,1,2,1,4,4,3,2,1,,,,,
S0786V1604,5,5,5,2,1,,,5,5,5,5,5,5,4,5,3,2,1,2,2,,,,,,,,,,
S0639V1247,4,5,5,4,4,1,4,,,,,,,3,,3,2,2,2,3,,,,,,,,,,
S1253V2442,5,2,1,3,3,3,4,,,,,,,5,,4,4,3,1,2,,,,,,,,,,
S1229V2406,2,1,1,1,2,5,4,,,,,,,4,4,5,4,2,1,1,4,4,3,3,2,,,,,
S1282V2498,1,,1,1,1,3,4,,2,,2,,2,3,3,4,5,3,3,1,5,4,3,2,1,,4,,,
S0921V1889,4,4,4,3,4,4,4,4,4,4,4,3,3,3,3,2,3,3,2,1,3,4,3,3,1,5,4,,,
S0554V0881,5,5,5,,,,5,,3,,4,,1,5,5,5,4,3,2,2,3,3,1,2,2,,,,,
S0520V0814,1,3,3,1,1,1,4,2,2,2,2,2,2,4,3,4,4,3,2,1,4,4,3,2,1,3,3,,,
S0360V0897,5,5,5,4,4,4,3,4,,4,,3,,4,,4,4,3,3,1,,,,,,,,,,
S0913V1860,3,5,5,4,2,2,5,5,5,5,5,3,3,4,4,4,1,2,2,1,4,2,1,3,1,1,1,,,
S0648V1259,5,1,1,2,,,4,5,4,5,5,4,5,4,4,3,3,3,1,2,3,3,2,1,2,4,,,,
S0917V1873,4,5,4,2,2,4,2,3,4,3,3,5,5,3,3,5,3,3,2,2,4,4,3,2,2,4,4,,,
S0725V1439,3,5,4,2,2,3,4,4,,5,,5,,4,5,4,4,3,2,2,6,,,,,,,,,
S0767V1547,4,2,2,3,2,3,4,4,3,5,5,5,5,3,3,4,4,3,3,1,4,4,3,2,3,5,5,,,
S0370V0492,2,2,2,4,3,4,4,,,,,,,5,5,4,5,3,2,3,4,5,3,2,2,,,,,
S0537V0868,4,1,1,1,1,1,4,4,3,,5,,5,5,5,3,4,3,2,2,4,4,3,3,2,3,4,,,
S0681V1339,4,1,2,2,2,3,4,2,1,4,4,5,5,5,5,4,4,3,2,2,4,4,3,3,1,6,6,,,
S0658V1291,5,5,5,5,5,5,5,5,,5,,3,,5,,4,4,3,3,3,,,,,,4,,,,
S0660V1299,4,1,1,5,5,5,3,5,5,5,5,4,4,5,5,3,4,3,2,1,4,4,3,2,1,,5,,,
S0929V1901,5,4,4,5,4,5,5,5,,5,,5,,5,5,4,4,3,2,1,3,5,3,3,1,4,,,,
S0719V1428,,2,2,2,2,2,5,4,4,5,5,5,5,4,5,3,4,3,2,2,1,4,3,3,2,4,4,,,
S0372V0470,5,5,,,,,5,3,2,1,1,2,2,4,4,3,4,3,3,1,4,5,3,3,3,4,4,,,
S0669V1318,5,2,2,2,2,4,5,4,4,5,5,5,4,4,4,2,4,3,3,1,3,4,3,3,1,3,3,,,
S0961V1967,1,4,4,2,4,5,5,4,3,5,5,4,4,5,5,4,4,3,2,2,4,3,3,3,1,5,5,,,
S1260V1277,4,4,4,3,3,3,,3,,2,,1,,4,,4,4,3,2,3,,,,,,3,,,,
S0723V1436,2,4,4,2,2,4,4,5,5,3,3,3,3,5,5,4,3,3,2,1,3,3,3,2,1,4,4,,,
S0529V0863,4,4,4,5,5,5,4,2,1,5,5,5,5,5,4,4,4,3,3,2,2,4,3,3,3,,5,,,
